DRUG_TYPE,DRUG_DESCRIPTOR,TARGET_TYPE,TWEET_COUNT,COMPANY_TYPE,NUMBER_OF_MONTHS,MARKET_CAP,CAGR_2,CAGR_5,STATUS,HIGHEST_DEV_STAGE,THERAPY_AREA,INDICATION,MOL_TYPE,TRIAL_COUNT,PUBLIC_NEWS,PUBLICATION_COUNT,DEALS,DEAL_STATUS,DEAL_AMOUNT,DEAL_TYPE,ACQUIRED,HOT/NOT
1,13,13,0,1,0,0,0,0,2,3,8,4,2,0,0,0,0,6,0,6,0,0
1,14,19,64,1,0,0,0,0,8,9,8,6,8,1,0,1207,3,1,125,8,0,1
1,7,18,46,2,0,26949.35,325.75,78.5,8,3,8,6,6,0,2,659,11,1,1457.2,0,1,1
1,7,13,0,2,38,81.34,-59.179,-30.12,2,3,8,5,2,0,0,0,4,1,72,3,0,0
1,9,6,0,2,0,446308,299.514,74.025,2,3,5,17,6,6,4,532,0,6,0,6,0,1
1,9,15,6,2,0,5992.51,1.18,0.47,2,5,0,14,8,1,0,579,2,1,406.6,0,1,1
1,13,6,0,2,0,53377.31,-11.486,-4.763,2,3,10,11,6,6,0,532,4,1,94423.71,0,1,1
1,9,19,64,1,0,0,0,0,4,5,4,5,8,1,0,1207,0,6,0,6,0,1
1,14,14,1000,1,36,0,0,0,4,5,8,6,8,2,0,21317,0,6,0,6,0,1
1,14,17,30,2,59,202097,169.431,48.655,4,5,8,18,8,1,0,952,1,1,0,1,0,1
1,9,0,0,2,4,53377.31,-11.486,-4.763,1,0,1,12,8,1,0,12421,0,6,0,6,0,1
1,12,13,0,2,0,58554.32,20.462,7.731,2,3,8,19,9,1,1,0,0,6,0,6,0,0
1,10,15,6,2,0,5992.51,1.18,0.47,2,3,0,12,8,0,0,579,2,1,406.6,0,1,1
1,9,13,0,1,0,0,0,0,2,3,8,4,2,0,0,0,0,6,0,6,0,0
1,4,3,10,1,0,0,0,0,2,3,8,18,8,0,1,30495,3,1,2.63,10,0,0
1,14,18,46,2,97,196361.1,81.53,26.934,4,7,8,6,6,9,5,659,0,6,0,6,0,1
1,4,13,0,1,0,0,0,0,2,3,8,19,7,0,1,0,5,2,166.2,2,1,0
